bug,nloc,CCN,function_numbers,token_count,parameter_count
f7354ccac844,249,0,0,1503,0
52791eeec1d9,2912,0,0,10459,0
feb26ac31a2a,72,0,0,532,0
239b0e52d8aa,301,0,0,2365,0
b00a726a9fd8,80,0,0,565,0
045ee45c4ff2,82,11,4,483,4
3cdfcbfd32b9,1014,0,0,8243,0
f11b2a1cfbf5,53,2,1,365,2
9a2eba337cace,24,1,1,205,3
6ffb55e5009ff,123,0,0,980,0
7c30f352c852,10,0,0,46,0
75186a9b09e4,33,1,1,246,1
637cd060537d,440,75,9,2781,10
8c779229d0f4,42,5,2,238,2
8820b68bd378,295,19,1,1660,2
e7096c131e51,5954,855,208,35892,372
d5b844a2cf507,49,0,0,223,0
5ea3b1b2f8ad,119,7,2,894,0
56ceecde1f29,28,0,0,188,0
5b9cce4c7eb069,81,1,1,526,1
1f718f0f4f97,51,3,3,316,3
a09db883e5d9,108,0,0,278,0
7aab2d534e35,23,0,0,160,0
ce657b1cddf1,174,7,3,1336,1
dd65f7e19c69,13,0,0,93,0
21c29de1d09,180,0,0,929,0
f9d9db47d3ba,145,0,0,803,0
438a506180,12,0,0,110,0
d241d4aac93f,34,4,1,199,1
24f8e00a8a2e,21,0,0,160,0
c97ee3e0bea2,738,0,0,6754,0
2be2a3ff42a5,59,0,0,452,0
40609d4820b2,421,32,10,3032,18
bbbe775ec5b5da,1399,126,47,9171,83
7e7a436ecb6e,160,26,1,1119,2
1a92f989126e,25,0,0,245,0
4c5dae59d2e9,319,48,5,1894,11
064cdd2d91c2,42,0,0,354,0
0ef34ad6222a,94,4,1,522,1
a9acc26b75f6,5,0,0,33,0
7fcfa9a2d9a7,8,0,0,25,0
4900727d35bb,18,4,1,153,1
34d0b5af50a0,69,0,0,440,0
9b42c1f179a6,131,12,4,1101,9
4c9706dc2f29,56,4,2,384,2
8d9d4bdc495f,155,15,2,920,5
00ea6e5fda9d,93,5,1,608,2
be3d960b0aeb,7,0,0,70,0
3c83dd577c7f,98,7,3,702,3
9b45b7bba3d2,112,0,0,1019,0
b01141f4f59c,103,0,0,736,0
8bf960985dfc,120,0,0,1027,0
6931007cc90b,18,0,0,129,0
4f2fec00afa60,167,5,2,1093,4
554c8aa8ecad,75,10,8,526,8
71ce391dfb784,91,0,0,639,0
7ffd948fae4c,352,88,8,2512,22
029efb3a03c5,51,0,0,292,0
ddee09c099c3,26,0,0,125,0
d6ddfacd95c7,345,58,23,2272,65
78cbccd3bd68,33,2,2,207,2
1bd8e0a9d0fd1,214,0,0,1318,0
edd8ed496b98,30,2,2,175,2
263c9959c937,1132,159,46,7123,100
83910ad3f51fb,555,0,0,4290,0
23f75d7dfa92,269,2,1,1820,2
8d5d45fb1468,0,0,0,0,0
10d1f8cb3965,61,0,0,402,0
b82ce24426a4,8,0,0,56,0
423ad7b3cbd1,56,15,1,294,3
76d5692a5803,26,1,1,174,3
515db266a9da,299,11,5,838,7
b2d24b97b2a9,210,41,3,1322,4
60db3a4d8cc9,23,4,1,127,1
34db70b92fae,15,0,0,94,0
60b2b4ee2bc0,20,5,2,117,2
f54b311142a9,123,0,0,917,0
f6810c15cf97,129,8,4,714,4
90b1e7a57880,91,0,0,674,0
16f906d66cd7,67,5,1,445,2
cd4a4ae4683dc2,18,0,0,156,0
3783689a1,838,20,4,3117,7
5ff9d8a65ce8,71,0,0,590,0
a4499382,54,0,0,415,0
edb39c9deda8,112,13,9,569,13
be086e7c53f1,6726,0,0,42807,0
dd1aa2524bc5,518,0,0,3066,0
6f3da20e151f,223,34,4,1537,10
8f9327cbb6e8,44,2,2,273,2
172ae5b4c8c1,132,0,0,923,0
a4c3733d32a7,458,10,10,2813,12
32d7b19bad96,10,0,0,58,0
874443fe9e33,37,0,0,321,0
ca748c39ea3f,131,0,0,860,0
ede95a63b5e8,100,0,0,644,0
0184165b2f42,64,11,5,405,5
728480f12442,283,0,0,1713,0
70725d6e97ac,12,0,0,33,0
7373a8cc38197,105,5,4,708,5
75437bb304b20,6,0,0,53,0
b592211c33f7,45,0,0,386,0
4c5b9d9642c8,189,4,4,1226,4
5a0d0a6161ae,319,0,0,2706,0
16981d763501c0e0,33,0,0,225,0
d7c51706d095,242,1,1,1207,1
e70d59700fc3,46,7,1,262,2
e9add8bac6c6,18,0,0,105,0
8d6f08272b6f,35,0,0,235,0
ceca7b712,943,0,0,6590,0
fa01e2ca9f53,70,3,3,519,3
52d6a5ee101bf,23,1,1,163,2
630d30a4ee27,601,3,1,4182,4
bdfe4cebea11,18,0,0,117,0
3904b28efb2c,990,134,25,5110,49
f89120b6f554,29,0,0,179,0
db7f5eef3dc0,41,3,2,338,8
89dbf1962aa63,249,56,3,1525,11
8cecf52befd7,130,0,0,596,0
d40e98c13b3e,82,0,0,644,0
7757d607c6b3,8,0,0,40,0
ba7af5ec5126,44,9,3,301,5
08426eda58e0,658,76,19,4601,45
64b875f7ac8a,57,0,0,439,0
aaac3ba95e4c,112,8,6,746,3
07f6c4bc048a,679,21,4,4549,4
5692fae0742d,229,28,8,1337,15
f121e0ea9586,86,9,1,723,1
018423e90bee8,411,67,14,2322,28
216646e4d82e,7,0,0,78,0
1fc44d9b1afb,941,0,0,6670,0
e368fdb61d8e,151,17,2,882,5
2b514574f7e8,164,0,0,1094,0
5c51277a9ababfa4,103,2,1,683,1
77c97b4ee21290f5,89,0,0,524,0
55b9b50811ca,90,0,0,699,0
2722e56de6,248,20,5,1150,6
e0d795e4f36c,554,0,0,3280,0
e978de7a6d38,8,3,1,51,1
c56a831ca47e,90,0,0,538,0
11294d63ac91,102,32,1,662,3
1494276000db,99,0,0,563,0
d6ed93551320,1326,128,26,10901,74
9317bb69824e,13,6,2,99,4
56299fb7d904,145,0,0,1059,0
e52a632195bf,336,40,10,1927,11
d4ff1b3917a5,33,2,1,251,2
7d6f7fb053ad,95,10,5,576,16
ad4b1eb5fb33,76,0,0,468,0
906c7d690c3b,53,0,0,333,0
e8ed73f691bd,14,0,0,79,0
140623410536,862,133,38,5206,81
6608804b3d7f,25,2,1,142,1
343723dd51ef,24,0,0,165,0
a0dd7b79657b,221,22,7,1041,12
2c0dbaa0c43d,72,13,1,430,2
745b361e989a,639,0,0,4775,0
2c0ae1720c09,196,41,6,912,6
21cb3222fe56,119,0,0,903,0
0b665d304028,22,1,1,102,1
a2c12493ed7e,19,0,0,109,0
d2ceb7e57086,32,0,0,255,0
bda7b072de99,27,2,2,135,2
0410c3bb2b88,491,0,0,3471,0
2e43bb31b8df,22,0,0,145,0
eb02c38f0197,51,0,0,412,0
c6a0637460c2,824,2,1,6310,1
cae86d4a4e56,3376,0,0,1598,0
f26cdc8536ad,96,0,0,748,0
9ba1f726bec09,235,18,12,1255,25
2eafd72939fd,5399,10,9,30815,23
63572937cebf,28,4,1,172,1
f1b0a4343c41,366,24,20,2283,46
642261ac995e,404,0,0,2431,0
9e794b6bf4a2,35,0,0,225,0
b3528b487448,14,0,0,138,0
ddcad7e9068eb,60,4,1,370,2
b6b6cc9acd7b,43,0,0,377,0
d7bfba7296ca,36,0,0,258,0
9b61e302210e,100,0,0,692,0
051fb70fd4ea,775,140,28,4874,53
78137e3b34e1,35,0,0,267,0
65cab850f0ee,26,0,0,161,0
890274c2dc4c,170,12,4,777,8
ac96287cae08,43,2,1,278,3
237fead619984,5080,618,160,27418,406
ad202074320c,141,11,4,938,5
e5224f0fe2ac,43,1,1,285,5
47dd7a540b8a0,3325,537,151,20442,250
1dbf7f299f90,53,4,2,299,2
46c0ee8bc4ad,83,0,0,640,0
b8fd1f4170e7,1010,0,0,7128,0
1e52fefc9b0c,95,0,0,476,0
3a762dbd5347,581,85,22,3352,46
dabac6e460ce,289,7,3,2095,6
a23740ec43ba,50,10,3,315,6
6f428df47dae,179,24,15,1324,31
bccec89f0a35,141,17,11,926,22
964fff7491e4,52,0,0,332,0
a76e9bd89ae7,26,1,1,217,1
9b8ad3fb81ae,98,0,0,587,0
c1901cd33cf4,69,0,0,408,0
c93ac39da0064,139,0,0,805,0
f070ef2ac667,20,0,0,121,0
5b3b16880f,2366,228,88,12992,114
a6db4494d218,69,8,2,393,3
6685ac62b2f0,170,2,2,1076,2
fd1102f0aade,31,5,3,174,5
513510ddba96,128,10,3,900,12
b1bba80a4376,125,0,0,632,0
83ca7f5ab31f,79,0,0,505,0
61cb5758d3c4,47,5,1,402,1
6c0ca7ae292a,25,4,2,174,3
03bf0c281234,73,1,1,365,1
620125f2bf8,182,0,0,1386,0
e7774049ff25,126,0,0,662,0
09e05c3f78e9,89,0,0,683,0
02bfeb484230,85,0,0,648,0
ee06b1728b95,124,0,0,976,0
508845196238,3592,29,29,23761,409
1f181225f8ec,80,0,0,619,0
c5df39262dd5,80,11,5,458,5
ab5a98b132fd,20,0,0,182,0
400c40cf78da,483,85,19,2953,39
6975a783d7b4,258,0,0,1363,0
cc20a7139836,108,0,0,867,0
594ccc14dfe4d,9,0,0,85,0
f072218cca5b,6,0,0,50,0
1fe00d50a9e8,36,0,0,244,0
1aa661f5c3df,66,0,0,425,0
f5bfdc8e3947,15,3,1,100,1
6501c1f54a17,248,19,5,1424,11
b6319b061ba2,15,1,1,76,1
4adda1122c490,53,0,0,333,0
3269ee0bd668,73,0,0,529,0
8f50e358153d,6,0,0,44,0
362899b8725b35e3,54,7,4,322,6
0ea5b2fd38db56aa,93,0,0,682,0
668c9beb9020,125,0,0,920,0
a59a4d192166,176,43,10,1033,23
69a94abb82ee,15,0,0,86,0
df197195a5248,74,7,2,465,6
52b209f7b848,73,13,5,432,5
6566d1a32bf72,202,0,0,566,0
5fe599e02e41,18,0,0,222,0
fd2d2b191fe7,33,0,0,278,0
9df552ef3e21,13,0,0,89,0
50de596de8be,98,0,0,770,0
1bc0eb044615,104,0,0,761,0
df4e8d2c1d2b,115,3,1,950,2
a400efe455f7,7,0,0,66,0
9f993737906b,61,1,1,391,3
9919cba7ff71,127,0,0,1045,0
ec01aeb1803e,72,0,0,390,0
f3000e1b43f1,7,0,0,36,0
6361d72b04d1,76,12,5,612,7
dd8d8d44df64,150,18,14,822,29
576ed913,38,0,0,347,0
630f4b70567f,72,2,1,425,1
a1fc1920aaaa,8,0,0,42,0
5c056fdc5b47,12,2,1,76,1
8de9e86c67ba,236,17,1,1655,6
bb31b7cb106c,130,0,0,860,0
9c8bb163ae78,14,0,0,90,0
dc99f600698d,67,0,0,381,0
b5ebba46e694,16,1,1,90,1
37de98f8f1cf,73,0,0,494,0
2cba3ffb9a9d,216,0,0,1479,0
6b048706f407,75,0,0,488,0
a481daa88fd4,7,2,1,35,1
cf6eb489e5c0,693,92,1,4762,1
6d28d577510f,16,0,0,78,0
d9b9ff8c1889,10,0,0,65,0
d37d2b3c0ec2708a,3,0,0,21,0
3434f3783580,725,106,23,5353,70
5e35dc0338d8,11,0,0,86,0
89896051f8da,27,2,1,182,1
219d27d7147e,217,0,0,1534,0
7b60f3d876156,259,38,2,1834,4
aa8188253474,69,9,4,384,12
5c7e8bbb0257,70,3,3,471,3
91cc98f51e3d,84,1,1,535,1
84c6b86875e01a0,71,11,2,438,6
35e015e1f577,83,0,0,735,0
da298c6d98d5,993,0,0,7432,0
29e3880109e3,26,0,0,203,0
e8620cff9994,0,0,0,0,0
9b8a11e82615,568,106,13,3109,56
72b252aed506,126,14,8,727,12
1bacb0487d0e,177,14,1,906,4
41d07074154c,963,147,35,5363,126
2defda1f4b91,66,11,4,474,8
d9ff286a0f59,75,0,0,431,0
fafaa4264eba,214,0,0,790,0
eaf47b713b60,10,1,1,55,1
1470ddf7f8ce,351,0,0,2626,0
9d80448ac92b,19,1,1,97,1
ea8c5356d390,174,5,1,1352,2
896de0090a85,69,0,0,682,0
57c36519e4b94,15,0,0,140,0
e53cfe6c7caa,98,6,2,528,4
17c82e206d2a,133,13,3,748,7
d89b7379015f,291,0,0,1720,0
31fdf1840170,19,0,0,132,0
76bb5db5c749,30,0,0,265,0
d519329f72a6,39,0,0,323,0
0378123c5800,186,26,3,902,4
773da9b358bf,50,0,0,317,0
53f9263baba69,207,8,6,1524,6
0a51b343abfe,325,7,3,1951,3
167bc759e823,11,0,0,102,0
e80541ecabd5,247,24,3,1719,7
17614445576b6,12,0,0,121,0
20380bb390a4,58,0,0,424,0
d6895ad39f3b,123,13,4,1157,4
5538409ba393,32,2,1,277,0
c454a46b5efd,501,16,10,3422,8
c1a0e9bc885d,39,0,0,286,0
99d31326cbe6,92,0,0,764,0
7d0857a54aed,16,1,1,44,1
890ed578df82,35,5,1,260,1
203d8a4aa6ed,41,3,2,288,4
594ff7d067ca,341,58,11,2197,26
eac4eed3224b,131,31,3,1057,5
384ca3c6a28d,245,10,4,1737,8
cbd357008604,208,0,0,1472,0
8ef4665aa129,39,0,0,281,0
e28c190db66830c0,40,2,1,268,1
0413d7f33e60,97,0,0,774,0
e66774dd6f6a,280,0,0,1859,0
00512bdd4573,182,12,8,1023,14
ba005e1f4172,49,0,0,311,0
985ead416df39,500,63,12,2023,26
ce57c6610cc2,0,0,0,0,0
10b518d4e6dd,643,129,19,4723,92
d254586c3453,134,22,11,857,18
c092921219d2,229,0,0,1397,0
a68a63cb4dfc,228,24,6,1365,15
11c8dc419bbc,56,9,2,279,2
f05c83e77460,63,0,0,375,0
f44d5c8ac399,33,0,0,221,0
bde51583f49b,375,7,2,2616,4
b0e8b3417a62,204,14,14,1350,11
ca18d51d77eb,55,4,3,397,3
8d0deca8c6e0,189,0,0,1681,0
9794c64f302d,404,0,0,3005,0
6da5b0f027a8,84,2,1,620,4
7f1a57fdd6cb,47,4,2,285,3
e9024d519d89,47,0,0,312,0
c56675750d7c,36,0,0,333,0
80eae209d63ac,264,0,0,1728,0
29ac8e856cb369,413,0,0,2322,0
626d84db64d7,64,0,0,332,0
a3baf649ca9c,469,13,4,773,0
4400ac8a9a90,48,10,2,379,4
5bc7c1eb44f2,100,10,4,542,4
1d069bfa3c78,38,7,1,256,1
80ff8063e87c,161,17,4,818,13
abd29c931459,412,0,0,2832,0
9119fba0cfed,8,1,1,66,1
8e2ec639173f325,70,5,3,680,3
826cfe751f3e,178,26,10,1070,19
80cca775cdc4,45,4,2,348,4
045a282ca415,110,6,3,1089,3
ced39002f5ea,94,1,1,505,1
db809859c8ce,7,0,0,22,0
da32d3539fca,27,0,0,194,0
f905dd62be88,95,0,0,998,0
4c63c2454ef,38,0,0,237,0
541ddc66d665,18,0,0,124,0
3e81a4ca51a1,36,2,2,257,2
8c755ace357c,138,12,5,810,13
85baf542d54e,20,0,0,151,0
8c2f7e8658df,1088,65,23,7254,50
52675da1d087,44,0,0,370,0
bd2f348db503,30,0,0,151,0
71ebc4d1b27d,521,69,35,3635,53
91d57bae0868,69,10,5,485,7
5c090abf945b,101,3,1,702,3
6147305c73e4,14,5,1,109,1
9901abf58368,188,9,3,1189,13
bc52497a595d,26,0,0,293,0
3e68928b7d4c,105,0,0,772,0
6ac43272768c,67,3,3,444,3
1f770c0a09da,42,0,0,379,0
919c03ae11b9,56,5,3,317,6
317ab5b86c8e,313,0,0,1933,0
970239437493,23,0,0,114,0
4b1a29a7f542,365,55,19,2299,33
80f09dfc237f,196,0,0,1103,0
d50a7d8acd78,56,0,0,293,0
7a4c53bee3324a,48,7,2,383,5
cb6aeb079294,379,0,0,2860,0
07e4fead45e6,172,23,8,1046,14
3b36a8fd6777,8,0,0,50,0
be8a8d069e50,105,0,0,877,0
a149e7c7ce81,96,13,4,635,19
e46c7287b1c2,397,13,4,2406,6
9d8cebd4bcd7,61,0,0,477,0
7d2c6cfc5411,80,13,3,430,3
e17931d1a61d,70,0,0,529,0
21ff843931b2,183,0,0,1072,0
13100a72f40f,165,4,2,962,5
d705ff3818,199,5,3,1570,13
4de16969523c,46,4,2,304,9
a4a8c2c4962bb655,108,15,5,639,8
b9901fe84f02,41,0,0,245,0
e422267322cd,189,0,0,1044,0
fabbbee0eb0f,10,0,0,59,0
39413ae00967,74,0,0,529,0
870f1bd1f5e9,48,0,0,337,0
9ba723b081a2,79,0,0,553,0
5e45e01916197,33,0,0,270,0
0d78156eef1d,310,0,0,2122,0
5601236b6f794,85,16,3,605,3
fd867d51f889,59,7,2,347,6
8aeff920dcc9,183,0,0,1336,0
c9af28fdd449,150,0,0,1031,0
6dc72c3cbca0,11,1,1,59,1
a90118c445cc,56,3,1,418,1
6e58b8f1daaf1a,573,0,0,3150,0
40bb9d3147b2,30,0,0,136,0
af850e14a7ae,100,11,4,553,6
2d0a7addbd10,1203,0,0,5794,0
e1891cffd4c4,137,0,0,922,0
637241a900cb,103,8,4,628,10
095b6cfd69ce,28,2,1,193,1
90efe0556292,132,14,2,724,3
1ecb195753a1,24,2,1,154,3
89ff725051d1,261,8,2,1643,2
8182503df1ba,23,1,1,136,3
21fdd092acc7,50,4,1,350,2
ec5d31e3c15d,130,29,2,802,3
8a1ab5d76639,234,28,7,1358,24
06e8ccdab15f,63,0,0,454,0
20e4d81393,40,0,0,335,0
0e048316ff57,21,0,0,155,0
7b732a750477,491,0,0,3176,0
c7a402599504,151,7,3,857,4
37fdffb217a4,129,0,0,1113,0
8700e3e7c485,9428,1542,422,54788,909
354136bcc3c4,42,0,0,244,0
f7a40873d2fa,29,0,0,174,0
be83bbf80682,29,0,0,200,0
8424e00dfd52,698,7,2,3951,0
f3699e2c7745,179,31,6,1096,4
3ba75830ce17,435,1,1,3031,2
357b2f3dd9b7,91,0,0,596,0
be0e54c4ebbf,124,18,1,1017,1
48fc7dbd52c0,113,6,2,909,3
5283b03ee5cd,35,0,0,194,0
f91c9d7610a,20,0,0,164,0
3f32d0be6c16,14,0,0,137,0
607126c2a21c,7,0,0,74,0
d1667b86795a,323,0,0,1858,0
5a87182aa21d,54,0,0,275,0
7486216b3a0b,323,0,0,1681,0
dde634057da7,51,0,0,460,0
92b34a976348,11,0,0,107,0
f8c08d8faee5,194,1,1,1225,0
aa00f2c8aff7,21,0,0,64,0
d0bd456074,134,4,1,210,2
9f9c9cbb6057,87,0,0,658,0
a2ecc4df9f84,160,19,8,1019,11
885a136c52a8,154,0,0,869,0
7c3d21c8153c,202,0,0,1483,0
45ac96ed7c36,308,0,0,2479,0
67d97da34917,257,0,0,1807,0
bcacfcbc82b4,77,18,4,616,6
2c41beb0e5cf,116,13,9,810,10
3b1c5d965971,81,2,2,499,3
dd220a00e8bd,482,1,1,3174,1
e593b2bf513d,27,3,1,169,2
eaf140b60ec9,38,4,4,226,5
9f08890ab906,65,0,0,365,0
b97e92574c0b,170,0,0,1391,0
41397032c4a17dff,39,0,0,278,0
292d1398983f,54,8,5,407,5
d3a72fd8187b,66,0,0,532,0
4a72dafa19ba,126,0,0,836,0
2d4aa21a73ba,340,54,19,1978,33
97a69a0dea9a,96,0,0,729,0
e51060f08a61,1682,278,81,9992,150
97defe1ecf86,650,1,1,4876,1
135d9f7d135a,12,1,1,89,1
130c7b46c93d,37,4,2,325,4
383776fa7527,118,1,1,824,2
8d3a564da34e,54,7,1,408,1
0f831ec85eda,141,0,0,1280,0
44f714dae50a,120,2,1,754,1
09464974eaa8,10,0,0,98,0
40c36e2741d7,21,4,3,161,2
c24b14c46bb8,50,1,1,426,1
9b473de87209,262,0,0,1899,0
0fc721b2968e,175,0,0,1287,0
a6e5281780d1,115,2,2,695,5
fcac83656a3e,132,15,6,861,7
c7272c2f1229,17,0,0,141,0
7d78cbefaa,83,4,2,638,2
ca359066889f7,96,12,4,467,5
31b8b343e019,65,1,1,506,1
6b0c81b3be11,134,0,0,964,0
41ab43c9c89e,17,2,1,93,1
2ae7408fedfe,675,76,23,3774,56
c3322022897c,24,0,0,114,0
64470f1b8510,235,32,14,1618,29
9c71b9eb3cb2,20,0,0,142,0
d179bd1699fc,59,0,0,388,0
2f98382dcdfe,817,114,42,4844,0
b42279f0165c,33,0,0,189,0
fb265c9cb49e,307,0,0,2603,0
89b706fb28e4,80,0,0,749,0
ee106d7f942d,145,28,5,1117,20
3990a8fffbda,301,0,0,2082,0
06fe39ab15a6a4,6,0,0,78,0
b6b5e8a69118,12,0,0,82,0
505c9e94d832,9,0,0,39,0
61697a6abd24a,47,3,3,357,3
